Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
16049,0.66,-0.65,-10.15,0.05,-0.05,-0.00
16061,0.67,-0.64,-10.13,0.06,-0.05,-0.00
16093,0.68,-0.63,-10.16,0.06,-0.05,-0.00
16106,0.66,-0.65,-10.16,0.06,-0.05,0.00
16118,0.68,-0.65,-10.14,0.06,-0.05,0.00
16131,0.67,-0.65,-10.15,0.06,-0.05,0.00
16144,0.66,-0.69,-10.14,0.06,-0.05,0.00
16156,0.69,-0.67,-10.17,0.06,-0.05,0.00
16168,0.67,-0.65,-10.12,0.06,-0.05,0.00
16181,0.67,-0.67,-10.15,0.06,-0.05,0.00
16194,0.66,-0.68,-10.13,0.06,-0.05,0.00
16206,0.68,-0.67,-10.14,0.06,-0.05,-0.00
16219,0.68,-0.66,-10.14,0.06,-0.05,-0.00
16232,0.67,-0.65,-10.14,0.05,-0.05,-0.00
16244,0.68,-0.67,-10.15,0.05,-0.05,-0.00
16261,0.67,-0.67,-10.13,0.05,-0.05,-0.01
16274,0.69,-0.66,-10.11,0.05,-0.05,-0.01
16286,0.68,-0.64,-10.14,0.05,-0.05,-0.01
16299,0.70,-0.65,-10.14,0.05,-0.05,-0.01
16312,0.67,-0.66,-10.16,0.05,-0.05,-0.01
16324,0.67,-0.66,-10.14,0.05,-0.05,-0.01
16337,0.68,-0.65,-10.14,0.05,-0.05,-0.01
16350,0.68,-0.64,-10.14,0.05,-0.05,-0.01
16362,0.68,-0.62,-10.16,0.05,-0.05,-0.00
16375,0.68,-0.66,-10.12,0.05,-0.05,-0.00
16388,0.68,-0.65,-10.15,0.05,-0.05,-0.00
16400,0.68,-0.64,-10.13,0.06,-0.05,-0.00
16417,0.68,-0.65,-10.13,0.06,-0.05,-0.00
16430,0.68,-0.65,-10.12,0.06,-0.05,-0.00
16442,0.69,-0.65,-10.14,0.06,-0.05,-0.00
16455,0.68,-0.65,-10.13,0.06,-0.05,-0.00
16468,0.68,-0.66,-10.15,0.06,-0.05,-0.00
16480,0.67,-0.68,-10.14,0.06,-0.05,-0.00
16493,0.65,-0.65,-10.17,0.06,-0.05,-0.00
16506,0.66,-0.66,-10.16,0.06,-0.05,-0.00
16518,0.68,-0.65,-10.16,0.06,-0.05,-0.00
16531,0.67,-0.65,-10.16,0.05,-0.05,-0.00
16544,0.67,-0.66,-10.16,0.05,-0.05,-0.00
16556,0.68,-0.66,-10.15,0.05,-0.05,-0.00
16573,0.68,-0.65,-10.17,0.05,-0.05,-0.00
16586,0.68,-0.67,-10.16,0.05,-0.05,-0.00
16598,0.67,-0.66,-10.15,0.05,-0.05,-0.00
16611,0.67,-0.65,-10.14,0.05,-0.05,-0.00
16624,0.66,-0.68,-10.17,0.05,-0.05,-0.00
16636,0.68,-0.65,-10.15,0.05,-0.05,-0.00
16649,0.67,-0.66,-10.15,0.05,-0.05,-0.00
16662,0.68,-0.65,-10.13,0.05,-0.05,-0.00
16674,0.68,-0.65,-10.14,0.05,-0.05,-0.00
16687,0.68,-0.67,-10.16,0.05,-0.05,-0.00
16700,0.68,-0.65,-10.16,0.05,-0.05,-0.00
16712,0.67,-0.66,-10.18,0.05,-0.05,-0.00
16742,0.66,-0.65,-10.18,0.05,-0.05,-0.00
16755,0.67,-0.66,-10.16,0.05,-0.05,-0.00
16767,0.68,-0.65,-10.16,0.05,-0.05,-0.00
16780,0.68,-0.64,-10.15,0.05,-0.05,-0.00
