Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
50630,0.80,-0.13,-10.21,0.05,-0.05,-0.00
50666,0.81,-0.14,-10.24,0.06,-0.05,-0.00
50700,0.80,-0.13,-10.23,0.05,-0.05,-0.00
50735,0.79,-0.11,-10.22,0.05,-0.05,-0.00
50770,0.80,-0.13,-10.25,0.05,-0.05,-0.00
50805,0.81,-0.12,-10.25,0.05,-0.05,-0.00
50840,0.83,-0.13,-10.23,0.05,-0.05,-0.00
50875,0.80,-0.14,-10.22,0.05,-0.05,-0.00
50910,0.81,-0.13,-10.22,0.05,-0.05,-0.00
50945,0.78,-0.13,-10.23,0.05,-0.05,-0.00
50980,0.81,-0.13,-10.20,0.05,-0.05,-0.00
51020,0.83,-0.13,-10.20,0.05,-0.05,-0.00
51055,0.81,-0.14,-10.20,0.05,-0.05,-0.00
51090,0.81,-0.12,-10.24,0.06,-0.05,-0.00
51125,0.80,-0.12,-10.25,0.05,-0.05,-0.00
51160,0.78,-0.14,-10.23,0.06,-0.05,-0.00
51196,0.78,-0.13,-10.20,0.06,-0.05,-0.00
51231,0.80,-0.12,-10.21,0.05,-0.05,-0.00
51266,0.81,-0.12,-10.23,0.05,-0.05,-0.00
51301,0.81,-0.12,-10.23,0.06,-0.05,-0.00
51336,0.80,-0.13,-10.26,0.05,-0.05,-0.00
51371,0.78,-0.36,-10.13,0.05,-0.05,-0.00
51406,0.72,0.18,-10.18,0.08,-0.05,0.00
51441,0.74,-0.39,-10.35,0.05,-0.05,-0.00
51482,0.82,0.08,-10.19,0.04,-0.06,-0.01
51517,0.79,-0.28,-10.18,0.02,-0.04,-0.02
51552,0.81,-0.11,-10.19,0.04,-0.05,-0.01
51587,0.76,0.02,-10.08,0.08,-0.05,-0.02
51622,0.76,-0.39,-10.27,0.09,-0.05,-0.00
51657,0.78,0.02,-10.22,0.10,-0.05,0.02
51692,0.82,-0.10,-10.20,0.08,-0.05,0.02
51727,0.88,-0.36,-10.29,0.05,-0.05,0.02
51776,0.79,-0.17,-10.29,0.03,-0.05,-0.01
51811,0.82,0.10,-10.18,0.01,-0.04,-0.04
51846,0.88,-0.40,-10.26,0.03,-0.04,-0.03
51881,0.83,-0.12,-10.41,0.05,-0.05,-0.01
51921,0.92,-0.16,-10.60,0.05,-0.05,-0.01
51968,0.77,-0.03,-9.08,0.05,-0.06,0.01
52003,0.70,-0.46,-10.03,0.07,-0.07,-0.01
52038,0.83,-0.64,-10.43,0.16,-0.02,0.02
52073,0.71,0.42,-9.10,0.08,-0.03,0.03
52108,0.80,0.25,-9.56,0.01,-0.08,0.01
52143,0.97,-0.59,-10.93,0.05,-0.06,0.01
52179,0.82,-0.67,-11.46,0.05,-0.02,-0.01
52214,0.86,-1.05,-11.62,0.04,-0.01,-0.04
52249,1.03,-0.83,-11.21,0.05,-0.04,-0.04
52284,0.88,0.05,-9.55,0.02,-0.08,-0.04
52319,1.10,-1.13,-10.85,0.03,-0.05,-0.08
52354,1.05,1.07,-8.39,0.04,-0.06,-0.05
52394,0.34,-0.78,-9.81,0.02,-0.00,-0.08
52429,0.19,-0.15,-9.80,0.04,-0.03,-0.07
52464,1.24,0.03,-10.97,0.06,-0.07,-0.09
52499,0.28,-0.05,-10.14,0.03,-0.01,-0.05
52534,0.45,-0.23,-9.99,0.06,-0.04,0.01
52570,0.62,-0.16,-10.08,0.08,-0.03,0.07
52605,0.73,-0.71,-10.47,0.10,-0.03,0.07
52640,0.91,-1.35,-11.09,0.10,-0.04,0.03
52675,0.84,-0.71,-10.12,0.06,0.02,-0.01
52710,1.02,-0.50,-10.11,0.00,-0.01,-0.04
52745,1.19,-0.07,-9.86,-0.02,-0.03,-0.05
52780,0.52,-0.39,-9.93,-0.04,-0.01,-0.06
52821,1.38,-0.07,-10.91,0.02,-0.07,-0.06
52855,0.35,0.04,-9.83,0.02,-0.03,-0.04
52890,0.90,0.30,-10.57,0.10,-0.08,-0.02
52926,0.51,-0.26,-10.04,0.08,-0.01,0.01
52961,0.15,0.14,-9.91,0.12,-0.05,0.05
52996,1.20,0.07,-10.16,0.12,-0.08,0.06
53031,1.55,0.62,-10.10,0.07,-0.08,0.03
53066,1.58,0.01,-10.44,0.03,-0.06,-0.01
53101,0.58,-0.50,-9.79,-0.04,-0.03,-0.02
53136,1.33,-0.28,-10.89,-0.01,-0.06,-0.07
53171,0.70,0.14,-11.47,0.01,-0.07,-0.09
53206,0.61,0.32,-11.14,0.05,-0.09,-0.10
53255,0.33,0.53,-10.89,0.07,-0.09,-0.05
53289,0.38,0.11,-9.89,0.09,-0.04,0.01
53335,0.96,0.23,-10.58,0.10,-0.03,0.05
53370,0.87,-0.80,-10.34,0.08,-0.01,0.07
53405,0.76,0.50,-10.16,0.11,-0.08,0.09
