Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
81347,0.75,-0.46,-10.15,0.05,-0.05,-0.00
81360,0.77,-0.46,-10.16,0.05,-0.05,-0.00
81373,0.77,-0.47,-10.14,0.05,-0.05,-0.00
81385,0.77,-0.47,-10.15,0.05,-0.05,-0.00
81397,0.77,-0.49,-10.12,0.05,-0.05,-0.00
81409,0.75,-0.50,-10.14,0.05,-0.05,-0.00
81421,0.77,-0.49,-10.14,0.05,-0.05,-0.00
81433,0.77,-0.48,-10.11,0.05,-0.05,-0.00
81445,0.78,-0.46,-10.16,0.05,-0.05,-0.00
81457,0.77,-0.46,-10.17,0.05,-0.05,-0.00
81469,0.77,-0.48,-10.16,0.05,-0.05,-0.01
81481,0.77,-0.46,-10.16,0.05,-0.05,-0.00
81493,0.76,-0.46,-10.15,0.05,-0.05,-0.00
81505,0.78,-0.46,-10.14,0.05,-0.05,-0.00
81517,0.78,-0.48,-10.15,0.05,-0.05,-0.00
81529,0.78,-0.46,-10.13,0.05,-0.05,-0.00
81541,0.77,-0.46,-10.16,0.05,-0.05,-0.00
81553,0.77,-0.49,-10.12,0.05,-0.05,0.00
81565,0.77,-0.48,-10.13,0.06,-0.05,0.00
81577,0.76,-0.45,-10.12,0.06,-0.05,0.00
81589,0.76,-0.48,-10.08,0.06,-0.05,0.00
81601,0.77,-0.48,-10.12,0.06,-0.05,0.00
81613,0.78,-0.48,-10.12,0.05,-0.05,0.00
81625,0.76,-0.48,-10.15,0.05,-0.05,0.00
81637,0.76,-0.47,-10.14,0.05,-0.05,-0.00
81649,0.76,-0.48,-10.17,0.05,-0.05,-0.00
81661,0.76,-0.47,-10.14,0.05,-0.05,-0.00
81673,0.77,-0.47,-10.13,0.05,-0.05,-0.00
81685,0.78,-0.47,-10.13,0.05,-0.05,-0.00
81697,0.77,-0.49,-10.10,0.05,-0.05,-0.00
81709,0.76,-0.49,-10.13,0.05,-0.05,-0.00
81721,0.76,-0.47,-10.14,0.05,-0.05,-0.00
81733,0.76,-0.49,-10.13,0.05,-0.05,-0.00
81745,0.76,-0.46,-10.16,0.05,-0.05,-0.00
81757,0.77,-0.45,-10.17,0.05,-0.05,-0.00
81769,0.76,-0.47,-10.16,0.05,-0.05,-0.00
81781,0.77,-0.45,-10.14,0.05,-0.05,-0.00
81793,0.76,-0.45,-10.13,0.05,-0.05,-0.00
81805,0.76,-0.47,-10.13,0.06,-0.05,-0.00
81817,0.77,-0.48,-10.13,0.06,-0.05,-0.00
81829,0.79,-0.46,-10.12,0.06,-0.05,0.00
81841,0.77,-0.46,-10.16,0.06,-0.05,0.00
81853,0.77,-0.46,-10.14,0.06,-0.05,-0.00
81865,0.77,-0.47,-10.13,0.06,-0.05,0.00
81877,0.76,-0.48,-10.18,0.06,-0.05,0.00
81889,0.78,-0.49,-10.15,0.06,-0.05,0.00
81901,0.78,-0.48,-10.16,0.05,-0.05,0.00
81913,0.77,-0.47,-10.16,0.05,-0.05,-0.00
81925,0.76,-0.49,-10.16,0.05,-0.05,-0.00
81937,0.78,-0.48,-10.14,0.05,-0.05,-0.00
81949,0.77,-0.48,-10.10,0.05,-0.05,-0.00
81961,0.76,-0.48,-10.15,0.05,-0.05,-0.00
81973,0.77,-0.48,-10.16,0.05,-0.05,-0.00
81985,0.74,-0.48,-10.13,0.05,-0.05,-0.00
81997,0.75,-0.48,-10.13,0.05,-0.05,-0.01
82009,0.76,-0.46,-10.12,0.05,-0.05,-0.01
82021,0.76,-0.48,-10.16,0.05,-0.05,-0.00
82033,0.78,-0.48,-10.13,0.05,-0.05,-0.01
82045,0.77,-0.48,-10.15,0.05,-0.05,-0.00
82057,0.76,-0.45,-10.13,0.05,-0.05,-0.00
82069,0.83,-0.65,-10.07,0.03,-0.05,-0.01
82081,0.74,-0.65,-10.27,0.04,-0.05,-0.01
82093,0.80,-0.15,-9.99,0.07,-0.05,-0.00
82105,0.77,-0.59,-10.36,0.03,-0.04,-0.01
82117,0.73,-0.15,-9.99,0.05,-0.05,-0.00
