Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
37128,0.05,0.98,-8.83,0.09,-0.20,-0.10
37131,-1.40,-0.83,-11.38,0.11,-0.13,-0.12
37134,1.63,-0.91,-7.83,0.08,-0.08,-0.08
37137,3.09,0.24,-6.61,0.14,-0.14,-0.07
37140,1.30,0.92,-9.48,0.06,-0.10,-0.07
37142,-0.15,-0.47,-11.25,0.07,-0.03,-0.09
37145,2.25,-0.94,-6.41,0.03,0.01,-0.06
37148,4.13,0.35,-5.32,0.08,-0.07,-0.07
37151,0.93,0.17,-11.31,0.01,0.01,-0.09
37153,0.56,-0.60,-10.25,0.07,0.03,-0.10
37156,2.39,-0.58,-4.77,0.05,0.04,-0.05
37159,4.12,1.05,-3.93,0.18,-0.05,-0.05
37162,0.80,1.15,-10.66,0.10,0.02,-0.07
37165,0.43,0.64,-10.58,0.16,0.04,-0.08
37167,1.83,1.66,-7.02,0.08,0.07,-0.06
37170,3.34,2.94,-8.01,0.11,-0.00,-0.08
37173,-0.43,1.61,-14.42,-0.03,0.06,-0.12
37176,0.59,-0.16,-11.80,-0.05,0.07,-0.12
37178,0.41,1.25,-8.98,-0.07,0.09,-0.12
37181,1.62,2.76,-10.46,0.01,0.02,-0.14
37184,-2.01,0.86,-15.76,-0.05,0.05,-0.16
37187,-0.51,-0.60,-12.77,-0.08,0.05,-0.14
37190,-0.39,0.83,-9.29,-0.06,0.05,-0.13
37192,1.44,2.31,-10.24,0.04,-0.02,-0.14
37195,-1.51,0.59,-14.66,0.00,0.01,-0.15
37198,1.11,-1.27,-10.03,-0.04,0.02,-0.12
37201,2.17,0.41,-5.91,-0.01,-0.07,-0.10
37203,3.19,1.02,-8.18,0.03,-0.09,-0.11
37206,-0.30,-0.85,-12.31,-0.03,-0.05,-0.12
37209,2.43,-2.66,-9.16,-0.02,-0.06,-0.08
37212,3.20,-0.70,-5.62,0.01,-0.15,-0.05
37215,4.36,0.48,-7.60,0.05,-0.20,-0.05
37217,1.01,-1.09,-12.45,-0.02,-0.15,-0.07
37220,3.40,-3.06,-8.80,-0.04,-0.13,-0.03
37223,3.69,-0.97,-5.81,-0.04,-0.21,-0.01
37226,2.62,0.50,-11.09,-0.10,-0.19,-0.02
37228,0.76,-2.15,-13.99,-0.13,-0.12,-0.04
37231,2.83,-3.67,-10.44,-0.19,-0.08,-0.02
37234,3.19,-1.75,-7.55,-0.19,-0.11,-0.01
37237,2.06,-0.66,-12.47,-0.24,-0.06,-0.01
37240,0.03,-2.30,-14.65,-0.20,0.01,-0.03
37242,2.40,-3.64,-9.77,-0.25,0.06,0.00
37245,2.48,-1.10,-6.99,-0.21,0.00,0.02
37248,1.37,0.49,-11.72,-0.24,0.04,0.02
37251,-0.50,-1.15,-12.12,-0.18,0.11,-0.01
37253,1.06,-1.83,-8.58,-0.21,0.15,0.03
37256,1.98,-0.17,-6.01,-0.15,0.06,0.05
37259,0.23,1.64,-10.95,-0.18,0.09,0.05
37262,-0.20,0.05,-11.28,-0.16,0.15,0.03
37265,1.55,-0.14,-7.79,-0.21,0.18,0.05
37267,3.33,1.67,-4.28,-0.19,0.09,0.06
37270,1.37,1.84,-9.53,-0.30,0.15,0.03
37273,0.97,-0.26,-10.33,-0.28,0.23,-0.00
37276,2.28,-0.50,-6.36,-0.32,0.22,0.01
37278,3.87,0.49,-6.05,-0.26,0.13,0.01
37281,1.55,0.91,-12.19,-0.27,0.14,-0.02
37284,1.11,-0.41,-12.83,-0.18,0.16,-0.03
37287,2.01,1.21,-9.08,-0.20,0.13,0.00
37289,3.83,3.11,-8.56,-0.14,0.00,-0.00
37292,1.12,2.66,-15.21,-0.21,0.02,-0.04
37295,1.17,1.51,-15.27,-0.19,0.06,-0.06
37298,1.78,2.38,-11.01,-0.24,0.08,-0.05
37301,2.53,3.34,-13.33,-0.19,0.03,-0.06
37303,-0.09,2.04,-16.49,-0.26,0.02,-0.08
37306,0.49,-0.64,-13.92,-0.24,0.08,-0.09
37309,0.89,0.07,-8.92,-0.23,0.10,-0.07
37312,1.82,1.18,-10.04,-0.18,0.06,-0.07
37314,-0.69,0.08,-13.57,-0.22,0.08,-0.09
37317,-0.51,-1.33,-12.22,-0.19,0.10,-0.12
37320,0.96,-0.51,-6.52,-0.24,0.06,-0.11
37323,1.95,1.18,-6.74,-0.18,-0.02,-0.14
37326,-1.79,-0.05,-10.43,-0.18,0.00,-0.18
37328,0.42,-0.80,-7.23,-0.15,0.01,-0.18
37331,0.95,0.14,-2.77,-0.11,-0.03,-0.16
37334,1.96,1.06,-6.51,-0.02,-0.10,-0.17
37337,-1.49,-0.17,-11.81,0.03,-0.03,-0.20
37339,0.89,-0.93,-12.16,0.06,-0.00,-0.18
37342,1.69,0.91,-9.01,0.06,-0.02,-0.17
37345,1.24,1.98,-12.51,0.09,-0.08,-0.20
37348,-2.10,-0.70,-16.32,0.08,-0.09,-0.24
37351,0.56,-2.20,-13.24,0.06,-0.10,-0.23
37353,1.57,0.01,-9.60,0.09,-0.14,-0.22
37356,1.24,1.28,-12.58,0.12,-0.18,-0.23
37359,-2.47,-0.34,-16.08,0.16,-0.15,-0.27
37362,1.06,-0.82,-10.31,0.09,-0.15,-0.25
37364,1.63,-0.03,-8.40,0.14,-0.19,-0.26
37367,1.61,2.27,-11.09,0.18,-0.19,-0.28
37370,-1.64,0.10,-13.48,0.23,-0.11,-0.31
37373,0.73,-0.74,-8.20,0.24,-0.05,-0.29
37376,2.10,1.23,-6.67,0.35,-0.14,-0.30
37378,1.13,2.46,-10.05,0.30,-0.10,-0.32
37381,-2.53,0.98,-13.82,0.37,-0.04,-0.38
37384,0.15,0.58,-8.65,0.33,-0.03,-0.35
37387,2.02,1.66,-7.42,0.44,-0.14,-0.36
37389,0.64,2.55,-11.11,0.39,-0.09,-0.37
37392,-1.40,0.45,-12.96,0.42,-0.04,-0.40
37395,1.71,0.12,-7.23,0.38,0.01,-0.37
37398,3.95,0.90,-4.32,0.49,-0.11,-0.37
37401,1.57,-0.20,-9.86,0.39,-0.04,-0.39
37416,2.11,-2.73,-10.19,0.48,0.16,-0.37
37419,2.21,-0.94,-7.91,0.51,0.14,-0.37
37421,2.38,1.61,-9.79,0.51,0.14,-0.38
37424,-1.58,0.65,-14.12,0.47,0.20,-0.42
37427,-0.43,-0.59,-10.15,0.43,0.21,-0.43
37430,-0.22,0.47,-8.00,0.50,0.18,-0.42
37432,-0.22,3.12,-10.90,0.54,0.16,-0.41
37435,-3.99,2.04,-15.72,0.51,0.20,-0.43
37438,-2.95,0.34,-12.39,0.47,0.23,-0.42
37441,-2.24,1.41,-10.06,0.54,0.19,-0.42
37444,-3.88,2.00,-13.92,0.53,0.16,-0.43
37446,-5.94,0.50,-16.40,0.52,0.18,-0.44
37449,-2.74,-1.17,-13.04,0.46,0.24,-0.43
37452,-0.94,0.00,-9.68,0.51,0.24,-0.42
37455,-0.58,1.90,-10.59,0.51,0.19,-0.43
37457,-2.31,0.36,-13.79,0.47,0.22,-0.45
37460,1.10,-1.63,-11.44,0.43,0.27,-0.44
37463,2.85,-0.50,-7.89,0.48,0.30,-0.39
37466,3.85,2.47,-8.12,0.52,0.26,-0.38
37469,3.05,0.85,-10.62,0.47,0.34,-0.43
37471,3.20,-0.57,-8.21,0.44,0.40,-0.43
37474,4.61,-1.62,-4.85,0.50,0.40,-0.40
37477,3.93,1.39,-6.35,0.56,0.31,-0.38
37480,3.23,0.43,-10.26,0.50,0.34,-0.39
37482,2.32,-1.47,-11.13,0.51,0.38,-0.39
37485,2.18,-2.80,-7.15,0.48,0.35,-0.35
37488,0.74,-1.13,-5.54,0.52,0.21,-0.32
37491,0.43,-1.58,-9.25,0.39,0.17,-0.32
37494,-0.21,-3.21,-9.94,0.39,0.18,-0.31
37496,1.54,-5.01,-7.22,0.33,0.17,-0.27
37499,0.21,-3.36,-4.13,0.38,0.08,-0.23
37502,0.75,-1.49,-7.70,0.31,-0.00,-0.20
37505,0.84,-3.21,-10.22,0.24,0.02,-0.22
37507,1.65,-4.61,-8.58,0.19,0.01,-0.21
37510,1.05,-3.82,-6.66,0.23,-0.07,-0.18
37513,1.07,-0.98,-6.53,0.24,-0.23,-0.15
37516,1.81,-1.81,-9.19,0.19,-0.24,-0.15
37518,2.66,-2.98,-8.28,0.16,-0.21,-0.12
37521,3.50,-2.85,-7.36,0.19,-0.24,-0.09
37524,2.11,-0.61,-5.49,0.21,-0.40,-0.06
37527,2.62,-1.11,-7.57,0.11,-0.48,-0.05
37530,3.27,-2.30,-9.19,0.09,-0.43,-0.05
37532,2.55,-3.53,-7.71,0.03,-0.41,-0.04
37535,0.80,-2.42,-6.82,0.10,-0.50,-0.02
37538,-0.78,0.14,-8.56,0.10,-0.61,0.00
37541,0.28,-1.58,-13.10,0.06,-0.57,-0.00
37543,-0.88,-1.26,-14.15,0.05,-0.53,0.01
37546,-1.29,-1.85,-14.80,0.07,-0.54,0.04
37549,-3.68,1.19,-16.15,0.09,-0.64,0.07
37552,-1.52,1.13,-17.57,-0.03,-0.66,0.09
37555,-1.65,-0.68,-18.76,-0.07,-0.54,0.08
37557,-2.13,-2.19,-17.74,-0.13,-0.50,0.09
37560,-2.52,-1.33,-17.20,-0.12,-0.48,0.12
37563,-2.33,-0.41,-17.18,-0.20,-0.50,0.14
37566,0.51,-1.58,-17.36,-0.32,-0.39,0.12
37568,0.01,-1.96,-16.59,-0.36,-0.33,0.10
37571,-0.51,-2.81,-13.86,-0.38,-0.29,0.10
37574,-2.10,-0.31,-12.44,-0.38,-0.31,0.11
37577,-1.47,0.75,-10.34,-0.41,-0.30,0.12
37579,0.31,-0.36,-10.48,-0.40,-0.19,0.11
37582,-1.06,-1.07,-9.45,-0.41,-0.13,0.11
37585,-1.56,-0.12,-6.88,-0.35,-0.12,0.14
37588,-1.65,2.62,-6.26,-0.37,-0.15,0.15
37591,0.88,1.87,-7.97,-0.44,-0.10,0.13
37593,0.76,0.12,-9.07,-0.45,0.01,0.10
37596,-0.04,-2.43,-7.34,-0.50,0.08,0.11
37599,-1.20,-0.88,-6.92,-0.45,0.09,0.12
37602,0.00,1.02,-6.66,-0.49,0.07,0.14
37604,2.60,0.00,-8.66,-0.59,0.14,0.12
37607,2.75,-0.95,-8.79,-0.64,0.17,0.10
37610,1.80,-1.68,-6.89,-0.66,0.20,0.10
37613,0.26,0.80,-5.51,-0.66,0.15,0.11
37616,0.88,2.10,-5.26,-0.68,0.08,0.10
37618,3.63,1.28,-7.31,-0.69,0.10,0.09
37621,3.40,-0.31,-7.81,-0.67,0.20,0.08
37624,2.25,0.68,-5.64,-0.62,0.18,0.11
37627,0.37,3.48,-5.69,-0.61,0.09,0.12
37629,1.27,3.46,-8.04,-0.66,0.07,0.11
37632,3.87,1.83,-10.23,-0.67,0.14,0.09
37635,2.51,-0.98,-9.18,-0.69,0.22,0.08
37638,0.66,0.11,-8.98,-0.61,0.22,0.10
37641,0.16,1.80,-10.29,-0.60,0.15,0.12
37643,0.46,1.10,-10.75,-0.62,0.14,0.11
37646,2.94,-1.07,-12.04,-0.60,0.22,0.10
37649,0.98,-1.67,-11.58,-0.57,0.24,0.10
37652,-1.09,0.65,-10.99,-0.60,0.20,0.11
37654,-1.37,1.52,-9.65,-0.65,0.15,0.11
