Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z,time_diff
0,0.8,-0.13000000000000003,-10.210000000000003,0.05,-0.05,-7.50150692314295e-20,
36,0.81,-0.14000000000000004,-10.24,0.06,-0.05,-7.50150692314295e-20,36.0
70,0.8,-0.13000000000000003,-10.229999999999999,0.05,-0.05,-7.50150692314295e-20,34.0
105,0.79,-0.11000000000000001,-10.22,0.05,-0.05,-7.50150692314295e-20,35.0
140,0.8,-0.13000000000000003,-10.250000000000002,0.05,-0.05,-7.50150692314295e-20,35.0
175,0.81,-0.12000000000000001,-10.250000000000002,0.05,-0.05,-7.50150692314295e-20,35.0
210,0.83,-0.13000000000000003,-10.229999999999999,0.05,-0.05,-7.50150692314295e-20,35.0
245,0.8,-0.14000000000000004,-10.22,0.05,-0.05,-7.50150692314295e-20,35.0
280,0.81,-0.13000000000000003,-10.22,0.05,-0.05,-7.50150692314295e-20,35.0
315,0.78,-0.13000000000000003,-10.229999999999999,0.05,-0.05,-7.50150692314295e-20,35.0
350,0.81,-0.13000000000000003,-10.199999999999998,0.05,-0.05,-7.50150692314295e-20,35.0
390,0.83,-0.13000000000000003,-10.199999999999998,0.05,-0.05,-7.50150692314295e-20,40.0
425,0.81,-0.14000000000000004,-10.199999999999998,0.05,-0.05,-7.50150692314295e-20,35.0
460,0.81,-0.12000000000000001,-10.24,0.06,-0.05,-7.50150692314295e-20,35.0
495,0.8,-0.12000000000000001,-10.250000000000002,0.05,-0.05,-7.50150692314295e-20,35.0
530,0.78,-0.14000000000000004,-10.229999999999999,0.06,-0.05,-7.50150692314295e-20,35.0
566,0.78,-0.13000000000000003,-10.199999999999998,0.06,-0.05,-7.50150692314295e-20,36.0
601,0.8,-0.12000000000000001,-10.210000000000003,0.05,-0.05,-7.50150692314295e-20,35.0
636,0.81,-0.12000000000000001,-10.229999999999999,0.05,-0.05,-7.50150692314295e-20,35.0
671,0.81,-0.12000000000000001,-10.229999999999999,0.06,-0.05,-7.50150692314295e-20,35.0
706,0.8,-0.13000000000000003,-10.26,0.05,-0.05,-7.50150692314295e-20,35.0
