Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z,time_diff
0,7.25,-1.78,-14.610000000000001,0.12,0.77,-0.08,
35,8.28,-1.01,-11.979999999999999,0.21,0.46,-0.05,35.0
70,7.52,-2.1,-14.53,0.29,0.17,-0.11,35.0
105,5.69,-1.23,-11.65,0.77,-0.24,-0.15,35.0
140,5.66,-1.78,-8.15,0.91,-0.45,-0.24,35.0
175,4.85,-1.78,-7.4300000000000015,1.34,-0.51,-0.24,35.0
210,3.77,-1.21,-5.92,1.72,-0.47,-0.18,35.0
258,4.83,-1.45,-5.9399999999999995,1.97,-0.4,-0.13,48.0
293,6.38,-2.21,-4.18,1.64,-0.41,-0.06,35.0
328,2.21,-1.33,-5.860000000000001,0.92,-0.37,-0.04,35.0
363,5.86,-1.39,-4.610000000000001,0.33,-0.32,-0.01,35.0
398,1.94,-2.09,-5.470000000000001,-0.04,-0.22,-7.50150692314295e-20,35.0
438,2.47,-2.45,-7.089999999999998,-0.06,-0.15,0.09,40.0
473,6.28,-1.97,-8.479999999999999,-0.17,-0.19,0.14,35.0
508,2.5,-1.99,-9.6,-0.45,-0.29,0.13,35.0
543,6.11,-1.95,-8.290000000000001,-0.63,-0.37,0.14,35.0
578,4.26,-1.34,-11.12,-0.61,-0.35,0.11,35.0
613,3.9,-2.02,-10.78,-0.45,-0.23,0.09,35.0
648,4.78,-1.35,-10.76,-0.27,-0.07,0.07,35.0
684,2.72,-2.25,-9.930000000000001,-0.26,-0.03,0.05,36.0
719,6.24,-1.88,-10.299999999999999,0.020000000000000004,0.04,0.03,35.0
754,2.34,-1.95,-10.089999999999998,0.29,0.15,0.02,35.0
789,5.06,-2.72,-9.979999999999999,0.32,0.17,0.09,35.0
824,4.36,-2.32,-11.140000000000002,0.08,0.21,0.12,35.0
859,5.42,-2.53,-14.019999999999998,-0.029999999999999995,0.18,0.16,35.0
900,5.74,-2.09,-13.87,-0.16,0.06,0.14,41.0
935,5.03,-1.64,-14.4,-0.009999999999999998,-0.04,0.07,35.0
970,2.67,-2.11,-10.97,0.26,-0.11,0.08,35.0
1005,6.36,-2.23,-11.729999999999999,0.07,-0.09,0.06,35.0
1040,2.5,-2.43,-14.24,-0.08,-0.02,0.05,35.0
1075,6.56,-2.79,-11.81,0.1,-0.08,0.05,35.0
1110,2.92,-2.28,-12.28,0.13,-0.17,0.04,35.0
1146,4.6,-2.32,-9.24,0.1,-0.26,0.12,36.0
1181,4.96,-1.78,-9.03,-0.009999999999999998,-0.23,0.12,35.0
1216,1.92,-2.38,-8.449999999999998,0.010000000000000002,-0.19,0.18,35.0
1251,5.91,-1.91,-7.15,0.09,-0.12,0.2,35.0
1286,1.89,-2.02,-10.13,0.12,0.04,0.21,35.0
1321,5.07,-1.42,-7.540000000000001,0.15,0.29,0.25,35.0
1373,2.46,-1.55,-11.460000000000003,0.26,0.86,0.19,52.0
1408,4.38,-1.4,-13.78,0.44,0.82,0.18,35.0
1443,5.98,-1.18,-14.540000000000001,0.21,0.4,0.14,35.0
1479,2.48,-1.05,-12.360000000000001,-0.17,-0.04,0.05,36.0
1514,5.66,-0.73,-8.06,-0.21,-0.28,0.02,35.0
1549,2.38,-1.03,-10.430000000000001,-0.44,-0.31,-0.06,35.0
1584,4.34,-0.58,-6.76,-0.31,-0.34,-0.05,35.0
1619,4.31,-1.25,-8.26,-0.12,-0.29,-0.12,35.0
1654,1.99,-1.56,-6.85,0.030000000000000002,-0.26,-0.11,35.0
1703,3.23,-2.21,-5.299999999999999,-0.009999999999999998,-0.22,-0.06,49.0
