Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z,time_diff
0,5.627891891891892,2.769864864864865,8.655135135135135,-1.8051891891891891,0.8600000000000001,1.3001891891891892,
35,6.447891891891892,3.539864864864865,6.695135135135136,-1.745189189189189,0.87,1.2901891891891892,35.0
70,6.307891891891892,3.909864864864865,7.535135135135135,-1.6451891891891892,0.8300000000000001,1.2501891891891892,35.0
104,6.1478918918918914,4.2598648648648645,7.605135135135136,-1.4251891891891892,0.79,1.150189189189189,34.0
139,6.447891891891892,4.519864864864864,9.345135135135136,-1.3751891891891892,0.74,1.0301891891891892,35.0
173,6.037891891891892,4.639864864864864,9.715135135135135,-1.6451891891891892,0.7000000000000001,0.8601891891891892,34.0
208,6.067891891891892,4.879864864864865,10.565135135135135,-1.725189189189189,0.76,0.7501891891891892,35.0
243,2.277891891891892,5.649864864864864,13.025135135135136,-2.145189189189189,0.9700000000000001,0.5601891891891893,35.0
277,5.757891891891892,5.039864864864865,9.615135135135136,-1.465189189189189,0.9700000000000001,0.4801891891891892,34.0
312,6.347891891891892,6.0498648648648645,9.055135135135135,-2.105189189189189,0.93,0.1901891891891892,35.0
346,4.627891891891892,4.199864864864865,12.095135135135134,-1.6751891891891892,1.02,0.1801891891891892,34.0
381,-10.872108108108108,10.629864864864864,15.495135135135136,-1.975189189189189,1.34,-0.4598108108108108,35.0
435,-3.3221081081081083,5.669864864864865,8.155135135135135,-2.935189189189189,1.76,-3.189810810810811,54.0
470,-0.08210810810810808,2.429864864864865,6.835135135135136,-2.555189189189189,2.3699999999999997,-3.4898108108108112,35.0
505,6.1878918918918915,7.899864864864864,2.1551351351351364,-2.035189189189189,2.96,-3.099810810810811,35.0
539,2.767891891891892,-0.2801351351351351,1.1351351351351369,-1.5451891891891891,2.1999999999999997,-2.719810810810811,34.0
574,7.057891891891892,-1.1301351351351352,-0.33486486486486555,-1.005189189189189,1.94,-2.4898108108108112,35.0
609,7.597891891891892,-0.3001351351351351,1.5751351351351346,-0.7551891891891891,1.45,-2.439810810810811,35.0
644,7.2678918918918916,0.2998648648648649,1.2751351351351339,-0.34518918918918917,1.02,-2.189810810810811,35.0
679,7.1878918918918915,-2.320135135135135,4.315135135135135,-0.3051891891891892,0.75,-1.8198108108108109,35.0
714,6.087891891891892,-2.960135135135135,4.215135135135135,-0.0951891891891892,0.5,-1.6498108108108107,35.0
748,5.607891891891891,-0.6301351351351351,5.745135135135136,0.3048108108108108,0.54,-1.4498108108108108,34.0
783,5.297891891891892,0.019864864864864884,6.725135135135135,0.7348108108108109,0.49,-1.2998108108108108,35.0
818,4.717891891891892,-0.4301351351351351,7.125135135135135,1.4448108108108109,0.5800000000000001,-1.2498108108108108,35.0
853,4.367891891891892,-1.390135135135135,6.555135135135135,1.8548108108108108,0.63,-1.4098108108108107,35.0
893,6.567891891891892,-2.730135135135135,7.595135135135136,2.0148108108108107,0.54,-1.3398108108108109,40.0
928,5.867891891891892,-1.9401351351351348,7.745135135135136,1.9648108108108109,0.56,-1.2498108108108108,35.0
963,-4.702108108108108,-7.370135135135135,9.175135135135136,1.5748108108108108,0.8400000000000001,-1.3098108108108109,35.0
997,-1.8721081081081081,-10.550135135135136,10.855135135135136,0.3748108108108108,1.4000000000000001,-3.149810810810811,34.0
1032,2.7578918918918918,-5.320135135135136,4.635135135135135,0.4248108108108108,1.37,-5.54981081081081,35.0
