Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
1377,7.25,-1.78,-14.61,0.12,0.77,-0.08
1412,8.28,-1.01,-11.98,0.21,0.46,-0.05
1447,7.52,-2.10,-14.53,0.29,0.17,-0.11
1482,5.69,-1.23,-11.65,0.77,-0.24,-0.15
1517,5.66,-1.78,-8.15,0.91,-0.45,-0.24
1552,4.85,-1.78,-7.43,1.34,-0.51,-0.24
1587,3.77,-1.21,-5.92,1.72,-0.47,-0.18
1635,4.83,-1.45,-5.94,1.97,-0.40,-0.13
1670,6.38,-2.21,-4.18,1.64,-0.41,-0.06
1705,2.21,-1.33,-5.86,0.92,-0.37,-0.04
1740,5.86,-1.39,-4.61,0.33,-0.32,-0.01
1775,1.94,-2.09,-5.47,-0.04,-0.22,0.00
1815,2.47,-2.45,-7.09,-0.06,-0.15,0.09
1850,6.28,-1.97,-8.48,-0.17,-0.19,0.14
1885,2.50,-1.99,-9.60,-0.45,-0.29,0.13
1920,6.11,-1.95,-8.29,-0.63,-0.37,0.14
1955,4.26,-1.34,-11.12,-0.61,-0.35,0.11
1990,3.90,-2.02,-10.78,-0.45,-0.23,0.09
2025,4.78,-1.35,-10.76,-0.27,-0.07,0.07
2061,2.72,-2.25,-9.93,-0.26,-0.03,0.05
2096,6.24,-1.88,-10.30,0.02,0.04,0.03
2131,2.34,-1.95,-10.09,0.29,0.15,0.02
2166,5.06,-2.72,-9.98,0.32,0.17,0.09
2201,4.36,-2.32,-11.14,0.08,0.21,0.12
2236,5.42,-2.53,-14.02,-0.03,0.18,0.16
2277,5.74,-2.09,-13.87,-0.16,0.06,0.14
2312,5.03,-1.64,-14.40,-0.01,-0.04,0.07
2347,2.67,-2.11,-10.97,0.26,-0.11,0.08
2382,6.36,-2.23,-11.73,0.07,-0.09,0.06
2417,2.50,-2.43,-14.24,-0.08,-0.02,0.05
2452,6.56,-2.79,-11.81,0.10,-0.08,0.05
2487,2.92,-2.28,-12.28,0.13,-0.17,0.04
2523,4.60,-2.32,-9.24,0.10,-0.26,0.12
2558,4.96,-1.78,-9.03,-0.01,-0.23,0.12
2593,1.92,-2.38,-8.45,0.01,-0.19,0.18
2628,5.91,-1.91,-7.15,0.09,-0.12,0.20
2663,1.89,-2.02,-10.13,0.12,0.04,0.21
2698,5.07,-1.42,-7.54,0.15,0.29,0.25
2750,2.46,-1.55,-11.46,0.26,0.86,0.19
2785,4.38,-1.40,-13.78,0.44,0.82,0.18
2820,5.98,-1.18,-14.54,0.21,0.40,0.14
2856,2.48,-1.05,-12.36,-0.17,-0.04,0.05
2891,5.66,-0.73,-8.06,-0.21,-0.28,0.02
2926,2.38,-1.03,-10.43,-0.44,-0.31,-0.06
2961,4.34,-0.58,-6.76,-0.31,-0.34,-0.05
2996,4.31,-1.25,-8.26,-0.12,-0.29,-0.12
3031,1.99,-1.56,-6.85,0.03,-0.26,-0.11
3080,3.23,-2.21,-5.30,-0.01,-0.22,-0.06
3115,5.31,-2.04,-6.27,-0.11,-0.24,-0.03
3150,1.75,-1.74,-8.01,-0.29,-0.20,0.06
3190,1.73,-1.65,-8.38,-0.43,-0.16,0.10
3225,5.60,-2.21,-6.90,-0.45,-0.22,0.14
3260,3.32,-1.80,-7.53,-0.50,-0.24,0.11
3295,2.55,-1.96,-6.52,-0.41,-0.31,0.13
3331,5.83,-1.43,-6.68,-0.31,-0.30,0.13
3366,1.66,-1.88,-8.45,-0.22,-0.28,0.10
3401,5.47,-1.70,-5.27,-0.09,-0.33,0.10
3436,2.74,-2.04,-6.54,-0.21,-0.30,0.08
3471,2.74,-1.98,-6.42,-0.19,-0.28,0.13
3506,5.04,-1.83,-6.12,-0.19,-0.24,0.11
3541,1.71,-2.22,-10.34,-0.13,-0.24,0.12
3576,4.31,-1.69,-7.17,0.09,-0.24,0.19
3612,2.26,-1.76,-9.72,0.23,-0.20,0.20
3652,2.30,-1.31,-9.40,0.28,-0.19,0.20
3687,3.04,-1.65,-5.76,0.28,-0.28,0.22
3722,4.36,-1.74,-5.45,0.16,-0.23,0.16
3757,1.47,-1.59,-5.15,0.22,-0.18,0.18
3792,4.74,-1.44,-4.97,0.12,-0.03,0.19
3827,2.88,-1.68,-9.65,-0.20,0.21,0.14
3863,4.54,-1.39,-12.71,-0.32,0.21,0.14
3898,4.50,-0.97,-15.01,-0.27,-0.01,0.08
3933,2.57,-0.88,-15.06,-0.24,-0.23,0.03
3968,5.98,-0.91,-14.21,-0.18,-0.34,-0.07
4003,2.23,-1.70,-15.02,-0.05,-0.40,-0.17
4038,3.86,-1.43,-11.43,0.23,-0.41,-0.18
4073,3.61,-1.85,-10.51,-0.11,-0.36,-0.21
4126,3.66,-1.08,-3.61,0.08,-0.13,-0.13
4160,2.68,-1.63,-5.86,-0.04,0.14,-0.10
4195,1.89,-0.60,-8.81,0.10,0.31,-0.06
4231,4.56,-1.32,-10.92,0.22,0.44,-0.07
4266,2.10,-2.13,-18.17,0.31,0.48,-0.10
4301,5.23,-1.88,-17.53,0.17,0.40,-0.17
4336,3.02,-2.46,-18.96,0.08,0.44,-0.25
4371,3.02,-1.89,-17.22,0.27,0.50,-0.19
4406,4.74,-2.10,-16.34,0.22,0.55,-0.16
4441,2.31,-2.76,-17.65,-0.11,0.60,-0.16
4476,5.49,-2.28,-17.50,-0.10,0.52,-0.18
4511,1.91,-1.93,-15.58,0.13,0.37,-0.17
4560,1.53,-2.54,-12.59,0.20,0.28,-0.17
4600,2.37,-2.47,-11.73,0.16,0.46,-0.08
4635,4.60,-2.22,-12.53,0.13,0.67,-0.03
4670,1.88,-2.31,-13.92,0.22,0.79,-0.02
4705,4.66,-2.08,-13.68,0.34,0.78,0.04
4740,2.67,-2.27,-15.30,0.26,0.65,0.04
4775,3.58,-2.20,-14.42,0.26,0.53,0.09
4810,4.85,-2.39,-15.48,0.34,0.50,0.06
4846,2.36,-2.23,-15.93,0.33,0.45,0.07
4881,6.27,-1.77,-15.48,0.27,0.36,0.04
4916,3.74,-2.38,-18.45,0.06,0.31,-0.03
4951,4.77,-2.42,-18.24,0.02,0.28,-0.07
4986,6.11,-2.29,-17.02,0.06,0.15,-0.10
5021,3.28,-2.82,-16.76,0.04,0.06,-0.13
5061,3.11,-2.60,-15.11,0.04,-0.12,-0.13
5096,5.93,-2.51,-11.76,-0.02,-0.26,-0.12
5131,2.02,-2.58,-11.92,-0.06,-0.33,-0.11
5166,4.19,-1.96,-8.22,-0.03,-0.35,-0.06
5202,4.06,-2.04,-6.99,-0.00,-0.30,-0.05
5237,1.63,-1.96,-6.47,-0.07,-0.23,0.00
5272,5.29,-2.05,-5.24,0.02,-0.19,0.03
5307,2.28,-1.66,-6.83,0.22,-0.12,0.05
5342,4.65,-1.65,-3.90,0.45,-0.14,0.12
5377,3.42,-1.70,-6.54,0.53,-0.12,0.14
5412,2.03,-1.53,-5.23,0.48,-0.23,0.17
5447,5.22,-1.52,-5.29,0.39,-0.30,0.19
5494,4.49,-1.29,-3.54,0.18,-0.38,0.17
5528,4.40,-1.58,-4.31,0.01,-0.31,0.12
5563,1.41,-1.47,-4.87,0.07,-0.17,0.12
5598,4.77,-1.26,-4.16,0.07,-0.10,0.15
5633,2.89,-1.37,-7.24,0.01,-0.03,0.13
5668,2.55,-1.01,-6.70,0.10,-0.06,0.13
5703,5.26,-1.59,-7.01,0.18,-0.06,0.07
5739,1.94,-1.63,-7.82,0.21,-0.04,0.05
5774,4.27,-1.70,-6.00,0.40,-0.11,0.09
5809,2.78,-1.65,-7.89,0.45,-0.08,0.08
5844,2.29,-1.05,-6.44,0.45,-0.14,0.07
5879,4.55,-1.16,-5.42,0.50,-0.14,0.07
5914,4.62,-1.73,-5.91,0.45,-0.10,0.07
5949,4.58,-1.91,-8.39,0.30,-0.06,0.04
5989,1.92,-1.74,-10.23,0.24,-0.12,0.06
6039,3.03,-1.75,-7.98,0.10,-0.13,0.10
6074,3.93,-1.86,-6.86,-0.06,-0.17,0.07
6109,4.48,-1.86,-8.00,-0.19,-0.13,0.07
6144,4.22,-1.66,-8.78,-0.23,-0.16,0.06
6179,3.00,-2.18,-9.30,-0.27,-0.24,0.03
6214,1.93,-2.42,-8.97,-0.09,-0.29,0.05
6249,1.45,-2.26,-9.14,0.13,-0.31,0.10
6284,1.92,-2.19,-8.22,0.14,-0.27,0.16
6319,2.69,-2.42,-8.22,0.13,-0.25,0.22
6354,3.62,-2.46,-4.36,-0.03,-0.23,0.25
6389,4.00,-2.45,-4.41,-0.13,-0.21,0.31
6424,3.03,-2.39,-5.38,-0.35,-0.12,0.37
6465,1.81,-1.92,-9.07,-0.50,-0.10,0.41
6499,2.86,-1.95,-8.97,-0.50,-0.11,0.44
6535,3.66,-2.23,-6.00,-0.31,-0.18,0.41
6570,3.65,-2.15,-6.15,-0.25,-0.22,0.39
6605,3.07,-2.08,-8.17,-0.18,-0.16,0.46
6640,2.19,-1.66,-9.83,0.05,-0.11,0.50
6675,1.30,-1.73,-8.58,0.00,-0.16,0.40
6710,1.68,-2.19,-8.73,-0.25,-0.16,0.31
6745,2.38,-1.88,-7.87,-0.36,-0.17,0.33
6780,3.40,-2.11,-6.15,-0.45,-0.23,0.35
6815,4.06,-1.89,-4.82,-0.43,-0.28,0.37
6863,2.15,-1.74,-7.29,-0.50,-0.26,0.34
6903,3.09,-2.05,-5.12,-0.50,-0.24,0.39
6938,1.93,-1.87,-6.57,-0.49,-0.19,0.42
6973,1.16,-1.62,-8.29,-0.44,-0.14,0.44
7008,1.31,-1.25,-8.50,-0.48,-0.13,0.44
7043,2.49,-1.35,-9.24,-0.57,-0.14,0.38
7078,3.90,-1.33,-8.52,-0.58,-0.15,0.40
7113,4.13,-0.52,-6.50,-0.48,-0.13,0.35
7148,3.51,-0.11,-8.45,-0.03,-0.16,0.34
7183,2.49,-0.22,-9.58,0.41,-0.18,0.26
7218,2.03,-0.16,-10.66,0.61,-0.16,0.15
7253,2.28,-0.27,-11.01,0.67,-0.17,0.05
7288,3.89,-0.36,-10.90,0.47,-0.20,-0.03
7323,5.20,-0.39,-9.20,0.12,-0.30,-0.13
7364,2.35,-0.34,-11.08,0.04,-0.33,-0.24
7399,3.01,-0.45,-10.55,-0.01,-0.31,-0.31
7434,4.34,-0.77,-8.83,-0.06,-0.35,-0.36
7482,2.32,-0.69,-12.37,-0.11,-0.25,-0.43
7517,2.99,-0.46,-12.20,-0.08,-0.20,-0.44
7552,3.73,-0.77,-11.37,0.09,-0.19,-0.43
7587,4.60,-0.82,-9.75,0.17,-0.16,-0.43
7622,3.68,-0.88,-8.66,0.29,-0.13,-0.43
7657,2.54,-0.98,-10.18,0.39,-0.09,-0.46
7692,2.27,-1.61,-11.64,0.55,-0.10,-0.48
7727,1.93,-2.37,-12.35,0.37,-0.14,-0.50
7762,2.36,-2.31,-10.48,0.05,-0.26,-0.44
7797,3.57,-2.81,-6.47,-0.21,-0.38,-0.37
7838,1.99,-2.60,-8.20,-0.25,-0.31,-0.24
7873,1.39,-2.14,-8.06,-0.12,-0.30,-0.13
7908,1.72,-2.22,-9.16,-0.31,-0.29,-0.05
7943,2.89,-2.54,-8.74,-0.25,-0.27,0.04
7978,4.03,-2.26,-6.34,-0.12,-0.30,0.14
8013,3.54,-1.81,-5.37,-0.03,-0.33,0.18
8048,2.22,-2.38,-6.47,0.02,-0.30,0.23
8083,1.13,-1.85,-6.94,-0.16,-0.23,0.27
8118,1.17,-1.15,-5.01,-0.65,-0.21,0.30
8153,2.29,-0.71,-3.96,-1.06,-0.24,0.27
8188,3.40,-1.18,-2.32,-0.97,-0.20,0.26
8235,2.44,-0.59,-3.77,-0.67,-0.15,0.19
8275,1.52,-0.49,-3.58,-0.25,-0.19,0.23
8310,1.08,-0.44,-5.87,0.10,-0.10,0.24
8345,1.88,-0.51,-6.81,0.27,-0.08,0.19
8380,3.28,-1.02,-7.38,0.24,-0.11,0.14
8415,3.87,-0.98,-5.98,0.24,-0.17,0.10
8450,2.75,-0.52,-5.26,0.23,-0.20,0.09
8485,2.38,-1.29,-11.19,0.02,-0.14,-0.01
8520,1.80,-1.45,-12.95,-0.28,-0.17,-0.13
8555,1.43,-1.28,-10.14,-0.49,-0.20,-0.21
8590,2.59,-1.35,-9.25,-0.48,-0.04,-0.25
8625,3.22,-1.70,-8.15,-0.40,0.11,-0.21
8660,2.87,-1.87,-8.56,-0.29,0.21,-0.18
8695,2.99,-1.90,-12.36,-0.04,0.17,-0.09
8735,2.82,-1.88,-14.94,-0.20,0.03,-0.06
8770,3.96,-1.92,-13.54,-0.37,0.05,-0.05
8805,3.11,-1.00,-12.41,-0.45,0.17,-0.07
8840,2.65,-0.58,-12.76,-0.52,0.26,-0.09
8875,2.81,-0.25,-13.93,-0.49,0.31,-0.14
8910,2.07,-0.63,-16.28,-0.27,0.31,-0.18
8960,4.16,-0.30,-12.76,0.06,0.08,-0.20
8995,3.28,-0.31,-10.96,0.09,-0.10,-0.28
9030,2.35,-0.70,-11.50,0.31,-0.24,-0.33
9064,1.81,-0.35,-10.72,0.47,-0.27,-0.38
9099,1.57,-0.36,-10.12,0.37,-0.18,-0.43
9134,2.70,-0.22,-8.64,0.12,-0.16,-0.49
9169,3.80,-1.37,-7.67,-0.22,-0.13,-0.57
9210,1.54,-1.36,-12.11,-0.38,-0.01,-0.60
