Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
106201,0.14,-0.34,-10.23,0.06,-0.05,-0.00
106236,0.17,-0.34,-10.25,0.06,-0.05,-0.00
106271,0.17,-0.35,-10.25,0.06,-0.05,-0.00
106306,0.17,-0.34,-10.24,0.05,-0.05,-0.00
106341,0.15,-0.33,-10.23,0.05,-0.05,-0.00
106376,0.17,-0.34,-10.23,0.05,-0.05,-0.00
106411,0.16,-0.33,-10.24,0.05,-0.05,-0.00
106446,0.17,-0.31,-10.22,0.06,-0.05,-0.00
106481,0.16,-0.34,-10.21,0.06,-0.05,-0.00
106516,0.16,-0.33,-10.21,0.06,-0.05,-0.00
106551,0.15,-0.35,-10.22,0.05,-0.05,-0.00
106591,0.16,-0.34,-10.24,0.05,-0.05,-0.00
106626,0.14,-0.35,-10.24,0.05,-0.05,-0.01
106661,0.19,-0.33,-10.21,0.05,-0.05,-0.01
106696,0.17,-0.33,-10.21,0.06,-0.05,-0.00
106731,0.19,-0.30,-10.23,0.06,-0.05,-0.00
106766,0.18,-0.34,-10.23,0.06,-0.05,-0.00
106801,0.15,-0.34,-10.23,0.06,-0.05,-0.00
106837,0.17,-0.35,-10.20,0.05,-0.05,-0.00
106872,0.16,-0.35,-10.22,0.05,-0.05,-0.00
106907,0.17,-0.32,-10.23,0.05,-0.05,-0.00
106942,0.17,-0.34,-10.24,0.06,-0.05,-0.00
106977,0.16,-0.34,-10.22,0.06,-0.05,-0.00
107017,0.17,-0.34,-10.21,0.06,-0.05,-0.00
107052,0.16,-0.34,-10.25,0.06,-0.05,-0.00
107087,0.15,-0.35,-10.25,0.06,-0.05,-0.00
107122,0.17,-0.34,-10.22,0.05,-0.05,-0.00
107157,0.16,-0.34,-10.25,0.05,-0.05,-0.00
107193,0.15,-0.35,-10.23,0.05,-0.05,-0.00
107228,0.15,-0.34,-10.22,0.05,-0.05,-0.00
107263,0.17,-0.35,-10.22,0.06,-0.05,-0.00
107298,0.15,-0.34,-10.22,0.06,-0.05,-0.00
107333,0.15,-0.34,-10.21,0.06,-0.05,-0.00
107368,0.16,-0.34,-10.24,0.05,-0.05,-0.00
107403,0.17,-0.34,-10.21,0.05,-0.05,-0.00
107444,0.18,-0.34,-10.24,0.05,-0.05,-0.00
107478,0.16,-0.33,-10.21,0.05,-0.05,-0.00
107525,0.15,-0.35,-10.21,0.06,-0.05,-0.00
107573,0.16,-0.34,-10.21,0.06,-0.05,-0.00
107608,0.17,-0.34,-10.22,0.05,-0.05,-0.00
107643,0.17,-0.34,-10.24,0.05,-0.05,-0.00
107679,0.16,-0.34,-10.23,0.05,-0.05,-0.01
107714,0.16,-0.34,-10.24,0.05,-0.05,-0.00
107749,0.16,-0.35,-10.23,0.06,-0.05,-0.00
107784,0.17,-0.34,-10.24,0.06,-0.05,-0.00
107819,0.16,-0.34,-10.22,0.06,-0.05,-0.00
107854,0.15,-0.34,-10.21,0.06,-0.05,-0.00
107894,0.16,-0.35,-10.22,0.05,-0.05,-0.00
107929,0.16,-0.33,-10.22,0.05,-0.05,-0.00
107964,0.17,-0.34,-10.24,0.05,-0.05,-0.00
107999,0.16,-0.32,-10.24,0.05,-0.05,-0.00
108034,0.16,-0.34,-10.20,0.06,-0.05,-0.00
108070,0.16,-0.34,-10.23,0.06,-0.05,-0.00
108105,0.17,-0.36,-10.26,0.06,-0.05,-0.00
108140,0.15,-0.33,-10.22,0.05,-0.05,-0.00
108175,0.15,-0.35,-10.25,0.05,-0.05,-0.00
108210,0.16,-0.34,-10.26,0.05,-0.05,-0.00
108245,0.16,-0.34,-10.23,0.05,-0.05,-0.00
108280,0.17,-0.35,-10.25,0.06,-0.05,-0.00
108321,0.16,-0.34,-10.25,0.06,-0.05,-0.00
108355,0.16,-0.34,-10.23,0.06,-0.05,-0.00
108391,0.16,-0.35,-10.23,0.06,-0.05,-0.00
108426,0.14,-0.34,-10.23,0.05,-0.05,-0.00
108461,0.14,-0.36,-10.20,0.05,-0.05,-0.00
108496,0.17,-0.35,-10.23,0.05,-0.05,-0.00
108531,0.15,-0.34,-10.24,0.06,-0.05,-0.00
108566,0.16,-0.33,-10.22,0.06,-0.05,-0.00
108601,0.15,-0.36,-10.23,0.06,-0.05,-0.00
108636,0.15,-0.34,-10.24,0.05,-0.05,-0.00
108671,0.17,-0.34,-10.22,0.05,-0.05,-0.00
108706,0.17,-0.38,-10.22,0.05,-0.05,-0.01
108747,0.17,-0.36,-10.22,0.05,-0.05,-0.00
108781,0.17,-0.31,-10.24,0.05,-0.05,-0.00
108816,0.17,-0.33,-10.24,0.06,-0.05,-0.00
108852,0.17,-0.34,-10.24,0.06,-0.05,-0.00
108898,0.15,-0.35,-10.22,0.06,-0.05,-0.00
108933,0.15,-0.35,-10.21,0.05,-0.05,-0.00
108968,0.18,-0.36,-10.22,0.05,-0.05,-0.00
109017,0.15,-0.33,-10.24,0.05,-0.05,-0.00
109052,0.16,-0.32,-10.25,0.05,-0.05,-0.00
109087,0.18,-0.34,-10.26,0.06,-0.05,-0.00
109122,0.16,-0.34,-10.25,0.06,-0.05,-0.00
109157,0.17,-0.35,-10.22,0.06,-0.05,-0.00
109197,0.15,-0.35,-10.22,0.05,-0.05,-0.00
109232,0.16,-0.35,-10.22,0.05,-0.05,-0.00
109267,0.15,-0.33,-10.25,0.05,-0.05,-0.00
109302,0.18,-0.34,-10.24,0.05,-0.05,-0.00
109337,0.17,-0.34,-10.22,0.06,-0.05,-0.00
109372,0.17,-0.35,-10.23,0.06,-0.05,-0.00
109407,0.16,-0.35,-10.23,0.06,-0.05,-0.00
109442,0.16,-0.34,-10.22,0.06,-0.05,-0.00
109477,0.16,-0.36,-10.22,0.05,-0.05,-0.00
109513,0.17,-0.36,-10.24,0.05,-0.05,-0.00
109548,0.14,-0.34,-10.25,0.05,-0.05,-0.01
109583,0.15,-0.32,-10.22,0.05,-0.05,-0.00
109623,0.16,-0.32,-10.21,0.06,-0.05,-0.00
109658,0.17,-0.34,-10.25,0.06,-0.05,-0.00
109693,0.15,-0.36,-10.25,0.05,-0.05,-0.00
109728,0.18,-0.37,-10.22,0.05,-0.05,-0.01
109763,0.17,-0.36,-10.22,0.05,-0.05,-0.01
109798,0.15,-0.34,-10.24,0.05,-0.05,-0.00
109833,0.16,-0.33,-10.22,0.06,-0.05,-0.00
109868,0.16,-0.34,-10.22,0.06,-0.05,-0.00
109903,0.15,-0.34,-10.24,0.06,-0.05,-0.00
109938,0.16,-0.36,-10.22,0.06,-0.05,-0.00
109973,0.16,-0.33,-10.24,0.06,-0.05,-0.00
110014,0.17,-0.34,-10.20,0.06,-0.05,-0.00
110049,0.16,-0.35,-10.25,0.06,-0.05,-0.00
110084,0.16,-0.34,-10.22,0.06,-0.05,-0.00
110119,0.17,-0.34,-10.25,0.06,-0.05,-0.00
110154,0.16,-0.35,-10.22,0.06,-0.05,-0.00
110189,0.18,-0.35,-10.22,0.06,-0.05,-0.00
110224,0.16,-0.35,-10.21,0.05,-0.05,-0.00
110271,0.17,-0.35,-10.23,0.05,-0.05,-0.00
110305,0.16,-0.34,-10.24,0.05,-0.05,-0.00
110340,0.16,-0.33,-10.24,0.06,-0.05,-0.00
110375,0.16,-0.34,-10.21,0.06,-0.05,-0.00
110410,0.15,-0.33,-10.20,0.06,-0.05,-0.00
110451,0.17,-0.33,-10.23,0.05,-0.05,-0.00
