Time,Acel. X,Acel. Y,Acel. Z,Rot. X,Rot. Y,Rot. Z
1371,1.17,0.04,-10.08,-0.10,-0.02,-0.22
1405,1.38,-0.76,-10.51,0.00,-0.00,-0.20
1440,1.53,0.11,-10.18,0.08,-0.01,-0.13
1475,1.10,0.50,-10.20,0.13,-0.07,-0.04
1510,0.62,-0.28,-10.32,0.12,-0.09,0.06
1544,0.57,-0.44,-10.31,0.10,-0.06,0.13
1579,0.55,-0.23,-10.24,0.07,-0.06,0.16
1614,0.58,-0.40,-10.63,0.07,-0.07,0.12
1649,0.53,-0.45,-10.40,0.07,-0.07,0.04
1684,0.52,-0.40,-10.18,0.06,-0.03,-0.03
1718,0.62,-0.47,-10.35,0.07,-0.01,-0.09
1753,0.69,-0.40,-10.18,0.03,-0.02,-0.11
1793,0.82,-0.34,-10.15,-0.00,-0.03,-0.09
1828,0.92,-0.18,-10.20,-0.01,-0.03,-0.04
1876,1.06,0.01,-10.37,0.02,-0.05,0.01
1911,0.89,-0.18,-10.48,0.07,-0.05,0.03
1946,0.81,-0.09,-10.42,0.11,-0.07,0.05
1981,0.65,-0.28,-10.39,0.13,-0.07,0.06
2016,0.65,-0.39,-10.40,0.12,-0.07,0.06
2051,0.65,-0.39,-10.22,0.08,-0.06,0.04
2086,0.67,-0.44,-10.18,0.04,-0.05,0.00
2121,0.62,-0.41,-10.18,0.01,-0.04,-0.03
2156,0.65,-0.26,-10.23,-0.00,-0.04,-0.05
2191,0.72,-0.23,-10.26,0.01,-0.03,-0.06
2226,0.82,-0.16,-10.21,0.03,-0.03,-0.05
2266,0.90,-0.12,-10.25,0.06,-0.04,-0.03
2301,0.91,-0.17,-10.20,0.08,-0.05,0.00
2336,0.89,-0.20,-10.21,0.08,-0.06,0.03
2371,0.79,-0.26,-10.24,0.07,-0.06,0.04
2406,0.68,-0.29,-10.23,0.06,-0.06,0.04
2440,0.62,-0.31,-10.30,0.06,-0.06,0.02
2475,0.61,-0.33,-10.25,0.06,-0.05,-0.00
